Page,URL,Rect,Context
1,https://larepublica.pe/sociedad/2025/04/23/agua-potable-de-consumo-humano-en-lima-y-regiones-contiene-coliformes-fecales-segun-informe-oculto-de-digesa-1302840,"(82.80000305175781, 139.69000244140625, 529.2000122070312, 152.34002685546875)",fecales y otro tipo de organismos perniciosos para la salud. https://larepublica.pe/sociedad/2025/04/23/agua-potable-de-consumo-humano-en-lima-y- regiones-contiene-coliformes-fecales-segun-informe-oculto-de-digesa-1302840
1,https://larepublica.pe/sociedad/2025/04/23/agua-potable-de-consumo-humano-en-lima-y-regiones-contiene-coliformes-fecales-segun-informe-oculto-de-digesa-1302840,"(82.80000305175781, 152.34002685546875, 472.5, 164.989990234375)",https://larepublica.pe/sociedad/2025/04/23/agua-potable-de-consumo-humano-en-lima regiones-contiene-coliformes-fecales-segun-informe-oculto-de-digesa-1302840
1,https://www.cutivalu.pe/pobladores-del-asentamiento-humano-31-de-enero-afectados-por-colapso-de-redes-de-desague/,"(82.80000305175781, 240.8900146484375, 529.2000122070312, 253.530029296875)",presentan estos problemas y no tienen solución por parte de EPS Grau. https://www.cutivalu.pe/pobladores-del-asentamiento-humano-31-de-enero-afectados-por- colapso-de-redes-de-desague/
1,https://www.cutivalu.pe/pobladores-del-asentamiento-humano-31-de-enero-afectados-por-colapso-de-redes-de-desague/,"(82.80000305175781, 253.530029296875, 237.1199951171875, 266.17999267578125)",https://www.cutivalu.pe/pobladores-de colapso-de-redes-de-desague/
1,https://www.gob.pe/institucion/regionsanmartin/noticias/1154643-gore-san-martin-preocupado-por-avance-del-proyecto-de-agua-potable-en-juanjui,"(82.80000305175781, 342.0799865722656, 529.2000122070312, 354.7300109863281)",distrito de Juanjuí. https://www.gob.pe/institucion/regionsanmartin/noticias/1154643-gore-san-martin- preocupado-por-avance-del-proyecto-de-agua-potable-en-juanjui
1,https://www.gob.pe/institucion/regionsanmartin/noticias/1154643-gore-san-martin-preocupado-por-avance-del-proyecto-de-agua-potable-en-juanjui,"(82.80000305175781, 354.7300109863281, 403.44000244140625, 367.3699951171875)",https://www.gob.pe/institucion/regionsanmartin/noticias/1154643-gore-s preocupado-por-avance-del-proyecto-de-agua-potable-en-juanjui
1,https://comunicaciones.congreso.gob.pe/noticias/en-sesion-publica-descentralizada-analizan-problematica-de-la-falta-de-agua-en-pasco/,"(82.80000305175781, 430.6199951171875, 529.2000122070312, 443.2699890136719)",técnicos y de infraestructura. Se plantearon posibles soluciones ante la escasez. https://comunicaciones.congreso.gob.pe/noticias/en-sesion-publica-descentralizada- analizan-problematica-de-la-falta-de-agua-en-pasco/
1,https://comunicaciones.congreso.gob.pe/noticias/en-sesion-publica-descentralizada-analizan-problematica-de-la-falta-de-agua-en-pasco/,"(82.80000305175781, 443.2699890136719, 343.5, 455.9200134277344)",https://comunicaciones.congreso.gob.pe/noticias/en-sesion analizan-problematica-de-la-falta-de-agua-en-pasco/
1,https://wayka.pe/lambayeque-denuncian-que-escolares-de-caserio-eureka-consumen-agua-con-arsenico/,"(82.80000305175781, 544.4600219726562, 529.2000122070312, 557.1099853515625)",señalan que la atención ha sido lenta y parcial. https://wayka.pe/lambayeque-denuncian-que-escolares-de-caserio-eureka-consumen- agua-con-arsenico/
1,https://wayka.pe/lambayeque-denuncian-que-escolares-de-caserio-eureka-consumen-agua-con-arsenico/,"(82.80000305175781, 557.1099853515625, 181.47000122070312, 569.760009765625)",https://wayka.pe/lambayeq agua-con-arsenico/
1,https://www.americatv.com.pe/noticias/actualidad/vecinos-no-tienen-agua-reciben-cobros-sedapal-n505599,"(82.80000305175781, 633.0, 529.2000122070312, 645.6500244140625)","la 1 de la tarde, pero que solo llega por 20 o 40 minutos como máximo. https://www.americatv.com.pe/noticias/actualidad/vecinos-no-tienen-agua-reciben-cobros- sedapal-n505599"
1,https://www.americatv.com.pe/noticias/actualidad/vecinos-no-tienen-agua-reciben-cobros-sedapal-n505599,"(82.80000305175781, 645.6500244140625, 172.32000732421875, 658.2999877929688)",https://www.americatv.co sedapal-n505599
2,https://www.infobae.com/peru/2025/04/24/nueva-rinconada-en-su-hora-cero-los-chinos-no-quieren-arreglar-con-nosotros-entonces-que-los-pobres-se-queden-sin-agua-segun-dirigenta/,"(82.80000305175781, 101.75, 529.2000122070312, 114.4000244140625)",que hagan las acciones para garantizar la continuidad del proyecto. https://www.infobae.com/peru/2025/04/24/nueva-rinconada-en-su-hora-cero-los-chinos- no-quieren-arreglar-con-nosotros-entonces-que-los-pobres-se-queden-sin-agua-segun-
2,https://www.infobae.com/peru/2025/04/24/nueva-rinconada-en-su-hora-cero-los-chinos-no-quieren-arreglar-con-nosotros-entonces-que-los-pobres-se-queden-sin-agua-segun-dirigenta/,"(82.80000305175781, 114.4000244140625, 529.2000122070312, 127.03997802734375)",https://www.infobae.com/peru/2025/04/24/nueva-rinconada-en-su-hora-cero-los-chinos- no-quieren-arreglar-con-nosotros-entonces-que-los-pobres-se-queden-sin-agua-segun- dirigenta/
2,https://www.infobae.com/peru/2025/04/24/nueva-rinconada-en-su-hora-cero-los-chinos-no-quieren-arreglar-con-nosotros-entonces-que-los-pobres-se-queden-sin-agua-segun-dirigenta/,"(82.80000305175781, 127.03997802734375, 132.5500030517578, 139.69000244140625)",no-quieren-arreg dirigenta/
2,https://radiorsd.pe/noticias/contraloria-detecta-incorrecta-administracion-del-servicio-de-agua-potable-en-cascajal,"(82.80000305175781, 215.59002685546875, 529.2000122070312, 228.239990234375)",de la localidad de Cajascal. https://radiorsd.pe/noticias/contraloria-detecta-incorrecta-administracion-del-servicio-de- agua-potable-en-cascajal
2,https://radiorsd.pe/noticias/contraloria-detecta-incorrecta-administracion-del-servicio-de-agua-potable-en-cascajal,"(82.80000305175781, 228.239990234375, 210.82000732421875, 240.8900146484375)",https://radiorsd.pe/noticias/contr agua-potable-en-cascajal
2,https://noticiaspiura30.pe/mantenimiento-en-ebar-almirante-grau-afecta-abastecimiento-de-agua-en-sectores-de-piura/,"(82.80000305175781, 329.42999267578125, 529.2000122070312, 342.0799865722656)","Seminario, Héroes del Cenepa, entre otros. https://noticiaspiura30.pe/mantenimiento-en-ebar-almirante-grau-afecta-abastecimiento- de-agua-en-sectores-de-piura/"
