Page,URL,Rect,Context
1,https://www.facebook.com/photo/?fbid=1049183370562726&set=a.322443046570099,"(409.7428894042969, 749.8533325195312, 509.1976013183594, 759.6759643554688)","ura News, En Nombre de La Verdad, Pre oticias, Libre Expresión Magazín, Radio Gua, Diálogos, Diario El Regiona"
1,https://www.facebook.com/photo/?fbid=122123721008693859&set=a.122108624150693859,"(45.075775146484375, 759.6759643554688, 88.05001068115234, 769.4987182617188)","y Piura 3.0, Sullana Mhnoticias, Report Piura, Radio Gua T"
1,https://www.facebook.com/photo/?fbid=612146391691504&set=a.101152569457558,"(92.96136474609375, 759.6759643554688, 166.01756286621094, 769.4987182617188)","y g a 3.0, Sullana en la Noticia, Piura oticias, Reporter en Línea, MhNot a, Radio Gua Talara, radio Gua –"
1,https://www.facebook.com/photo/?fbid=122123721008693859&set=a.122108624150693859,"(170.9289093017578, 759.6759643554688, 215.13099670410156, 769.4987182617188)","g Noticia, Piura Noticias Dig Línea, MhNoticias, La Esq , radio Gua – Catacaos)"
1,https://www.facebook.com/photo/?fbid=612146391691504&set=a.101152569457558,"(220.04232788085938, 759.6759643554688, 298.6238098144531, 769.4987182617188)","a Noticias Digitales, Informativo 365 oticias, La Esquina Piurana, Piura N – Catacaos)"
1,https://www.facebook.com/share/p/16Ao1xQ4N4/,"(304.1490478515625, 759.6759643554688, 377.8191833496094, 769.4987182617188)","nformativo 365, Trinidad Noticias, iurana, Piura Noticias Hoy, Radio"
1,https://www.facebook.com/share/p/1HxWqW6yae/,"(382.73052978515625, 759.6759643554688, 425.70477294921875, 769.4987182617188)","idad Noticias, Libre Expre as Hoy, Radio Gua, Diálog"
1,https://www.facebook.com/share/p/1BfQaZKmDs/,"(431.2300109863281, 759.6759643554688, 466.22332763671875, 769.4987182617188)","s, Libre Expresión Maga o Gua, Diálogos, Diario"
1,https://elregionalpiura.com.pe/index.php/region-piura/150-piura/69294-piura-instalan-equipos-para-monitorear-continuidad-del-agua-potable-en-zonas-abastecidas-por-la-eps-grau,"(471.1346740722656, 759.6759643554688, 555.2413940429688, 769.4987182617188)","xpresión Magazín, álogos, Diario El Regional de"
1,https://elregionalpiura.com.pe/index.php/region-piura/150-piura/69294-piura-instalan-equipos-para-monitorear-continuidad-del-agua-potable-en-zonas-abastecidas-por-la-eps-grau,"(45.075775146484375, 769.4987182617188, 65.948974609375, 779.3213500976562)","Mhnoticias, R Piura, Radio"
2,https://lagransaladenoticias.net.pe/2025/03/13/sunass-evaluo-a-organizaciones-de-la-yarada-los-palos-y-candarave-que-prestan-servicios-de-agua-y-saneamiento/,"(48.14536666870117, 57.968017578125, 148.21395874023438, 67.79071044921875)","de los servicios de agua y saneam (La Gran Sala de Noticias, La Gra Exitosa Tacna Facebook)"
2,https://www.facebook.com/share/p/1HcxtjtR8H/,"(153.12530517578125, 57.968017578125, 295.55419921875, 67.79071044921875)","g p agua y saneamiento e identificar mejoras que perm oticias, La Gran Sala de Noticias Facebook, Radio ebook)"
2,https://www.facebook.com/share/p/18gLYzVC4U/,"(300.4655456542969, 57.968017578125, 350.1929016113281, 67.79071044921875)","p oras que permitan un servici cebook, Radio Tacna, diario S"
2,https://www.facebook.com/share/v/16GcCs3Sjh/,"(45.075775146484375, 67.79071044921875, 143.3026123046875, 77.6134033203125)","g y (La Gran Sala de Noticias, La G Exitosa Tacna Facebook)"
2,https://visor.peruquiosco.pe/diario-correo-tacna,"(218.20057678222656, 116.90411376953125, 245.82684326171875, 126.726806640625)","comercial, principalme endas. (Correo)"
2,https://www.huarazenlinea.com/noticias/institucionales/12/03/2025/sunass-insta-la-eps-chavin-mejorar-comunicacion-con-usuarios-e,"(321.9526672363281, 181.97943115234375, 388.2557678222656, 191.80206298828125)","mación clara, concreta y accesib luvias. (Huaraz en Línea, Huaraz"
2,https://www.facebook.com/100063563691565/posts/1229189359209842/,"(393.1671447753906, 181.97943115234375, 455.1728210449219, 191.80206298828125)","creta y accesible sobre el restab Línea, Huaraz Informa, Visión"
2,https://www.facebook.com/100063579174279/posts/1224069649722329/,"(460.69805908203125, 181.97943115234375, 536.2099609375, 191.80206298828125)","y sobre el restablecimiento del nforma, Visión Informa Hoy)"
2,https://www.youtube.com/watch?v=BC2u7pAR740,"(78.22733306884766, 256.26336669921875, 145.1443634033203, 266.08612060546875)","p ( ) p nstituciones educativas tenían d deuda. (Exitosa YouTube, Exitos Chiclayano, La Esquina, El Cicló"
2,https://www.youtube.com/watch?v=ODywdQyThw8,"(150.6696319580078, 256.26336669921875, 193.6438751220703, 266.08612060546875)","p ativas tenían deudas de do uTube, Exitosa TV, Exitos quina, El Ciclón, El Ciclón,"
2,https://x.com/exitosape/status/1900191782995890419,"(198.55520629882812, 256.26336669921875, 236.61810302734375, 266.08612060546875)","deudas de dos meses a osa TV, Exitosa X, Exitos lón, El Ciclón, Fuego, JH"
