Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2387094-1,"(187.3800048828125, 139.69000244140625, 332.510009765625, 152.34002685546875)","mpensables para los trabajadores del secto 2026. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2386918-1,"(464.3399963378906, 177.6400146484375, 532.260009765625, 190.28997802734375)","o adoptado sobre nista. (El Peruano,"
1,https://busquedas.elperuano.pe/dispositivo/NL/2386918-1,"(82.80000305175781, 190.28997802734375, 167.38999938964844, 202.94000244140625)",directores de empresa Normas Legales)
1,https://www.facebook.com/share/p/18eVyYznGA/,"(404.9200134277344, 304.1300048828125, 494.69000244140625, 316.7799987792969)","Concurso Escolar Nacional Gota sable. (Radio Candarave, Radio"
1,https://www.facebook.com/share/p/15QiHUcfYD/,"(495.9599914550781, 304.1300048828125, 532.260009765625, 316.7799987792969)","acional Gota arave, Radio"
1,https://www.facebook.com/share/p/15QiHUcfYD/,"(82.80000305175781, 316.7799987792969, 125.19999694824219, 329.42999267578125)","de Oro, para p Cultural, Radio"
1,https://www.facebook.com/share/p/16HoX6D1VB/,"(126.81999969482422, 316.7799987792969, 193.07000732421875, 329.42999267578125)","Oro, para promover agua ultural, Radio Activa, La Gr"
1,https://www.facebook.com/share/p/16YncVrasQ/,"(194.67999267578125, 316.7799987792969, 321.4700012207031, 329.42999267578125)","mover agua segura, su uso y reúso res Activa, La Gran Sala de Noticias)"
1,https://www.facebook.com/share/v/15z3cgbjWM/,"(82.80000305175781, 493.8599853515625, 187.57000732421875, 506.510009765625)",agua por parte de la poblac (Caxamarca Al Día)
1,https://walac.pe/castilla-vecinos-del-a-h-campo-polo-denuncian-que-no-cuentan-con-agua-desde-hace-un-mes/,"(169.6300048828125, 620.3499755859375, 204.69000244140625, 633.0)",estro reclamo. No e ctado. (Walac)
1,https://elregionalpiura.com.pe/index.php/locales/146-sullana/69488-sullana-eps-grau-realiza-mantenimiento-y-limpieza-de-alcantarillado-con-hidrojets-en-transversal-callao,"(217.32000732421875, 696.2459716796875, 278.0799865722656, 708.89501953125)",ar atención a los afloramie llana. (El Regional)
2,https://andina.pe/agencia/noticia-trujillo-reportan-afectacion-humedales-huanchaco-tras-derrame-aguas-residuales-1024559.aspx,"(144.55999755859375, 139.69000244140625, 183.30999755859375, 152.34002685546875)","a prima para constru dalib. (Andina, La Ind"
2,http://www.laindustria.pe/nota/27735-huanchaco-ms-de-70-pescadores-artesanales-afectados-por-desborde-de-lagunas-de-oxidacin,"(184.92999267578125, 139.69000244140625, 246.91000366210938, 152.34002685546875)","para construir estas emba ndina, La Industria, Sol T"
2,https://soltvperu.com/desborde-aguas-servidas-huanchaco-totorales/,"(248.52000427246094, 139.69000244140625, 286.0299987792969, 152.34002685546875)","r estas embarcacione ustria, Sol TV)"
2,https://trujilloeshoy.com/mario-reyna-red-de-alcantarillado-es-una-bomba-de-tiempo/,"(235.0500030517578, 215.59002685546875, 309.239990234375, 228.239990234375)","mita que eso ocurra y se teng , dijo. (Trujillo es Hoy, Corre"
2,https://diariocorreo.pe/edicion/la-libertad-alcalde-de-trujilo-mario-reyna-avierte-que-la-red-de-alcantarillado-es-una-bomba-de-tiempo-noticia/,"(310.8500061035156, 215.59002685546875, 348.9700012207031, 228.239990234375)","urra y se tenga que e s Hoy, Correo)"
2,https://macronorte.pe/2025/04/01/alcalde-mario-reyna-cuestiona-la-poca-capacidad-para-ejecutar-obras-de-sedalib/,"(263.79998779296875, 278.83001708984375, 323.92999267578125, 291.4800109863281)",ecutar obras en la ciudad yecto. (Macronorte)
2,https://macronorte.pe/2025/04/01/piden-pronunciamiento-de-rechazo-a-propuesta-de-sedalib-de-arrojar-desague-al-mar-de-huanchaco/,"(86.46299743652344, 367.3699951171875, 146.60000610351562, 380.0199890136719)","manejar. Por ello, (Macronorte)"
2,https://diaadiatrujillo.pe/2025/04/03/convenio-entre-mpt-y-ministerio-de-vivienda-impide-a-sedalib-invertir-en-sus-propias-plantas-de-tratamiento/,"(240.5500030517578, 455.9200134277344, 326.9700012207031, 468.57000732421875)","T) y el MVCS, Sedalib es imped ento. (Día a Día Trujillo)"
2,https://rotafono.pe/servicios-publicos/trujillo-pobladores-reportan-aniego-a-causa-de-rotura-de-tuberias-en-la-avenida-santa-rosa-1625854/,"(433.7900085449219, 519.1600341796875, 482.92999267578125, 531.8099975585938)",ción Torres de Queved rado. (Rotafono)
2,https://www.gob.pe/institucion/contraloria/noticias/1138602-epsel-lambayeque-usa-recursos-propios-en-obra-adjudicada-a-contratista,"(300.5, 607.7000122070312, 359.4200134277344, 620.3499755859375)",ón afecta el correcto uso atista. (Contraloría)
3,https://www.defensoria.gob.pe/actividades/122634/,"(339.5799865722656, 63.79998779296875, 397.8900146484375, 76.45001220703125)",ento. (Defensoría)
3,https://www.facebook.com/share/v/18Sr3DG48p/,"(348.8299865722656, 127.03997802734375, 446.2699890136719, 139.69000244140625)","camino al aeropuerto, a causa de nada. (Semanario Avance)"
