Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2389388-2,"(314.58563232421875, 571.2032470703125, 430.0021667480469, 581.0259399414062)","onal la formulación y ejecución del megaproy cayali. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2389252-1,"(387.0279541015625, 600.6713256835938, 501.83056640625, 610.4940185546875)","e la Oficina de Cooperación y Asuntos sterio. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2389384-1,"(392.55322265625, 630.139404296875, 507.3558349609375, 639.9620361328125)","gnan personal de confianza de la Entidad U S. A. (El Peruano, Normas Legales)"
1,https://www.facebook.com/diarioahoraloreto/posts/1224278469702871,"(48.14536666870117, 773.796142578125, 125.49899291992188, 783.6187744140625)","p pago de los recibos que son (Diario Ahora Loreto, Diario"
1,https://www.facebook.com/100063696452238/posts/1228313579301846/,"(131.02426147460938, 773.796142578125, 197.9412841796875, 783.6187744140625)","p ecibos que son materia de reclam Loreto, Diario La Región, Región"
1,https://www.facebook.com/share/p/16Fc4PXva9/,"(202.85263061523438, 773.796142578125, 294.9402770996094, 783.6187744140625)","p y teria de reclamo y la prohibición de rea Región, Región Iquitos Noticias)"
2,https://diariocorreo.pe/edicion/la-libertad/la-libertad-la-municipalidad-provincial-de-trujillo-denuncia-a-sedalib-por-obras-inconclusas-noticia/?ref=dcr,"(376.5913391113281, 111.99273681640625, 404.2176513671875, 121.81549072265625)","p mavera, que están aba zona. (Correo)"
2,https://www.gob.pe/institucion/contraloria/noticias/1142707-contraloria-advierte-falta-de-acciones-para-reactivar-obra-de-saneamiento-que-beneficiara-a-mas-de-5000-habitantes-de-omate,"(186.27685546875, 161.106201171875, 215.74490356445312, 170.92889404296875)",activar la obra de mejo nexos. (Gob.pe)
2,https://diariocorreo.pe/edicion/piura/piura-avanzan-trabajos-para-recuperar-normal-operacion-en-ptap-curumuy-noticia/,"(177.06808471679688, 200.39691162109375, 204.08047485351562, 210.2196044921875)",p p s de Octubre que los tr e abril. (Correo)
2,https://imacorpplataforma.com/wp-content/uploads/2025/04/09-04-2025-RPP-SE-SUSPENDE-ENTREGA-DESAYUNOS-ESCOLARES-EN-LAMBAYEQUE-POR-USAR-AGUA-CONTAMINADA-TITULAR.mp3,"(266.7000427246094, 259.3330078125, 285.1175842285156, 269.15570068359375)",g e agua segura. Se h cente. (RPP)
2,https://imacorpplataforma.com/wp-content/uploads/2025/04/09-04-2025-RPP-EN-LAMBAYEQUE-260-MIL-POBLADORES-EXPUESTOS-A-CONSUMIR-AGUA-CONTAMINADA-RESUMEN-DE-LA-HORA.mp3,"(48.14536666870117, 298.62371826171875, 66.56289672851562, 308.4464111328125)",y q contaminada (RPP)
2,https://www.gob.pe/institucion/vivienda/noticias/1143061-brigadas-del-ministerio-de-vivienda-brindan-atencion-personalizada-a-121-municipios-de-amazonas-san-martin-huanuco-piura-y-loreto,"(48.14536666870117, 437.3691711425781, 82.5247573852539, 447.19183349609375)",proyectos de inve (Vivienda)
2,https://www.gob.pe/institucion/vivienda/noticias/1142107-ministerio-de-vivienda-lanza-la-plataforma-del-observatorio-urbano-nacional,"(282.0480041503906, 476.659912109375, 316.4273986816406, 486.4825744628906)","ara gestionar, sistematiz l país. (Vivienda)"
2,https://www.gob.pe/institucion/muniilo/noticias/1142919-alcalde-provincial-de-ilo-se-reunio-con-el-ministro-de-vivienda-para-impulsar-el-proyecto-de-mejoramiento-de-agua-potable-y-alcantarillado,"(398.6923828125, 535.595947265625, 428.1604309082031, 545.4187622070312)",p j ación del servicio de ag 00.00. (Gob.pe)
2,https://prensaregional.pe/educacion-sanitaria-en-moquegua-mas-de-800-estudiantes-aprenden-a-cuidar-el-agua-potable/,"(433.6856994628906, 584.70947265625, 499.98876953125, 594.5321655273438)",g ducativo “Yo Cuido el Agua” Conza. (Prensa Regional)
2,https://diariocorreo.pe/edicion/huanuco/inician-estudios-para-delimitar-el-humedal-en-huachog-en-huanuco-noticia/?ref=dcr,"(48.14536666870117, 633.8228759765625, 75.77165985107422, 643.6455078125)","operacionales, (Correo)"
