Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2380839-1,"(150.6696319580078, 654.0821533203125, 266.0861511230469, 663.9048461914062)","Directoral N° 45-2025-VIVIENDA/OGGRH.- rbano. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2380832-1,"(138.39126586914062, 683.5502319335938, 253.1938934326172, 693.3728637695312)","ción Ministerial N° 076-2025-VIVIENDA.- Ace rbano. (El Peruano, Normas Legales)"
2,https://nteve.com/2025/03/14/participa-en-primer-concurso-de-manejo-de-datos-en-el-agua-potable-para-identificar-cobros-indebidos/,"(371.6800231933594, 28.5, 396.8506164550781, 38.3226318359375)","| Del 15 a 17 de marzo d miento. (NTeve, El Info MDD, El Observador P"
2,https://elinformanteperu.com/index.php/2025/03/15/atencion-universitarios-participa-en-primer-concurso-de-manejo-de-datos-en-el-agua-potable-para-identificar-cobros-indebidos/,"(401.7619934082031, 28.5, 455.1728210449219, 38.3226318359375)","a 17 de marzo de 2025 NTeve, El Informante, Pasco l Observador Pasco, La Pala"
2,http://www.pascolibre.com/2025/03/atencion-universitarios-participa-en.html,"(460.69805908203125, 28.5, 507.9697265625, 38.3226318359375)","e 2025 mante, Pasco Libre, Chano Pasco, La Palabra del Mudo"
2,https://www.facebook.com/share/p/16BB6oJAjF/,"(512.8810424804688, 28.5, 539.279541015625, 38.3226318359375)","o Libre, Chano abra del Mudo,"
2,https://www.facebook.com/share/p/16BB6oJAjF/,"(45.075775146484375, 38.3226318359375, 76.99949645996094, 48.14532470703125)","desarrollar prop Noticias, La Red Caxas News, N"
2,https://www.facebook.com/share/p/18P3SDUD4m/,"(81.91083526611328, 38.3226318359375, 158.03663635253906, 48.14532470703125)","esarrollar propuestas innovadoras oticias, La Red Informativa, El Info axas News, Noticias de Pasco, Ra"
2,https://www.facebook.com/share/p/17oHS5HNu6/,"(163.56190490722656, 38.3226318359375, 216.9727325439453, 48.14532470703125)","s innovadoras en el sector de mativa, El Informante, Caden de Pasco, Radio TV Edalme"
2,https://www.facebook.com/share/p/18fq6aMaWR/,"(221.8840789794922, 38.3226318359375, 300.4655456542969, 48.14532470703125)","en el sector de agua potable y sane mante, Cadena Informativa, Noticia dio TV Edalmez, Rec Madre de Dios"
2,https://www.facebook.com/share/p/1DDqJ7wQqJ/,"(305.37689208984375, 38.3226318359375, 360.6294860839844, 48.14532470703125)","potable y saneamiento. (NTev mativa, Noticias MDD, El Obs Madre de Dios, Emprender P"
2,https://www.facebook.com/share/p/1A4rCUoaKz/,"(365.54083251953125, 38.3226318359375, 450.261474609375, 48.14532470703125)","amiento. (NTeve, El Informante, Pasc s MDD, El Observador Pasco, La Pal , Emprender Perú, Punto Informativo"
2,https://www.facebook.com/share/p/1YfjP6ST1k/,"(455.1728210449219, 38.3226318359375, 538.6656494140625, 48.14532470703125)","ormante, Pasco Libre, Chano Pasco, La Palabra del Mudo, nto Informativo, Caxas Noticias,"
2,https://www.facebook.com/share/p/16QEiK8Jxa/,"(45.075775146484375, 48.14532470703125, 95.41703033447266, 57.968017578125)","p p Noticias, La Red Info Caxas News, Noticia El Vocero)"
2,https://www.facebook.com/share/p/1SLVip63Ca/,"(100.94229125976562, 48.14532470703125, 172.7706756591797, 57.968017578125)","p p as, La Red Informativa, El Informa News, Noticias de Pasco, Radio ero)"
2,https://www.facebook.com/share/p/18NqcDqLbY/,"(177.68199157714844, 48.14532470703125, 252.5799560546875, 57.968017578125)","g p iva, El Informante, Cadena Informa Pasco, Radio TV Edalmez, Rec M"
2,https://www.facebook.com/share/p/161v8KQm2Z/,"(257.4913024902344, 48.14532470703125, 334.8449401855469, 57.968017578125)","g p y Cadena Informativa, Noticias MDD, dalmez, Rec Madre de Dios, Empre"
2,https://www.facebook.com/share/p/1A1CYsVEGj/,"(339.75628662109375, 48.14532470703125, 405.4454650878906, 57.968017578125)","( Noticias MDD, El Observador Pa e Dios, Emprender Perú, Punto"
2,https://www.facebook.com/share/p/18mhbzgzDy/,"(410.97076416015625, 48.14532470703125, 481.5712585449219, 57.968017578125)","Observador Pasco, La Palabra de r Perú, Punto Informativo, Caxas"
2,https://www.facebook.com/share/p/1GYd1QarsJ/,"(486.4826354980469, 48.14532470703125, 546.0326538085938, 57.968017578125)","La Palabra del Mudo, mativo, Caxas Noticias,"
2,https://www.facebook.com/share/p/19XA52WHgG/,"(45.075775146484375, 57.968017578125, 83.75259399414062, 67.79071044921875)","Caxas News, Not El Vocero)"
2,https://www.facebook.com/frasecorta/posts/pfbid02kZLZx13YaZK6RtaeyigK4DgwRKgRT3yyCx7gxjKy5KEGjy1uidaozuDnEQHn7k2zl,"(394.39495849609375, 123.04327392578125, 441.6666259765625, 132.865966796875)","p colegios públicos, ubicados mnos. (Frase Corta, 360 G requipa, Diario El Pueblo, D"
2,https://www.facebook.com/360grados.pe/posts/pfbid0VCqg2fqQ64JnuK7PLE1vBZpe1b6GMDBdDpohBzWX8gCvYpKuowsLQJwcaMqTH6Yol,"(447.19189453125, 123.04327392578125, 493.849609375, 132.865966796875)","cos, ubicados en el ámbito Corta, 360 Grados o El Pueblo, Diario El"
2,https://www.facebook.com/360grados.pe/posts/pfbid0VCqg2fqQ64JnuK7PLE1vBZpe1b6GMDBdDpohBzWX8gCvYpKuowsLQJwcaMqTH6Yol,"(45.075775146484375, 132.865966796875, 76.99949645996094, 142.68865966796875)","( 50 empresas pr Noticias, Diario Pueblo, Diario S"
2,https://www.facebook.com/diariolosandespuno/posts/pfbid0B8yBTJnxDnJGaKptw6JoELrZG1RytNak39nXySDg11CrzBnF5KUsh3Q8qeJDsenil,"(81.91083526611328, 132.865966796875, 150.0557098388672, 142.68865966796875)","( ) 0 empresas prestadoras (EPS), c oticias, Diario Los Andes, Diario ueblo, Diario Sin Fronteras, Corr"
2,https://www.facebook.com/diariosinfronteras/posts/pfbid031FqFZG9PGfYzszoycpXiMa1XVS42oeNMY3j3AZKXVpxip98CZ9H67GpSDJzvzkzql,"(154.967041015625, 132.865966796875, 235.3902587890625, 142.68865966796875)",") doras (EPS), con una población est Andes, Diario Sin Fronteras, Radio ronteras, Correo, Diario Revista Su"
2,https://www.facebook.com/RadioVictoriaArequipa/posts/pfbid02cgdSoDtae6JwgmRMJKm9w9uAb42CVHhB1AQMPFJsyDKkKieMrjSyM1X49sY9SURl,"(240.30160522460938, 132.865966796875, 296.16815185546875, 142.68865966796875)","g p a población estudiantil de 2,46 nteras, Radio Victoria, Ultimo rio Revista Sur, Radio Victoria"
2,https://www.facebook.com/ultimominuto.aqp/posts/pfbid0ZVcx4M7zuwr7WoGSm6XijEdFExHmJfGtXGRjS6TgFYGjVK1MQTyB445jhBT5Weotl,"(301.0794677734375, 132.865966796875, 394.39495849609375, 142.68865966796875)","g p g p diantil de 2,461,305 alumnos. (Frase C Victoria, Ultimo Minuto Arequipa, Diario Radio Victoria, El Buho, ATV Sur, RPP"
2,https://diarioelpueblo.com.pe/2025/03/13/mas-de-90-colegios-de-arequipa-tienen-deudas-por-el-servicio-de-agua-potable/?fbclid=IwY2xjawJBTudleHRuA2FlbQIxMAABHQLG-wue0zP_lF-y0Qs4jwxjm_1LirTNcoEkXw5szpsDKUgOGJ5PhjJwTQ_aem_wNdw5zr9vyfApscpfoi-WQ,"(399.3063049316406, 132.865966796875, 463.7676696777344, 142.68865966796875)","g p mnos. (Frase Corta, 360 Grados equipa, Diario El Pueblo, Diario ATV Sur, RPP, Correo, El Buho"
2,https://www.facebook.com/diarioelpuebloarequipa/posts/pfbid02S2Gs4B5DYpWbs5mYEUgan97TCNaWjtRZcbTpdGzd18whRBJNFGQGhgPsXpYRdhfol,"(468.67901611328125, 132.865966796875, 503.0583801269531, 142.68865966796875)","a, 360 Grados Pueblo, Diario El Correo, El Buho)"
