Page,URL,Rect,Context
1,https://busquedas.elperuano.pe/dispositivo/NL/2389388-2,"(128.63999938964844, 139.69000244140625, 273.7699890136719, 152.34002685546875)","l megaproyecto de control de avenidas e in ayali. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2389252-1,"(222.1999969482422, 190.28997802734375, 367.3299865722656, 202.94000244140625)","ntos Internacionales de la Oficina Gen sterio. (El Peruano, Normas Legales)"
1,https://busquedas.elperuano.pe/dispositivo/NL/2389384-1,"(277.8399963378906, 240.8900146484375, 422.9700012207031, 253.530029296875)","ntidad Prestadora de Servicios de Sane S. A. (El Peruano, Normas Legales)"
1,https://www.facebook.com/diarioahoraloreto/posts/1224278469702871,"(86.46299743652344, 392.6700134277344, 186.35000610351562, 405.32000732421875)","de reclamo y la prohibición (Diario Ahora Loreto, Diario"
1,https://www.facebook.com/100063696452238/posts/1228313579301846/,"(187.9600067138672, 392.6700134277344, 274.3999938964844, 405.32000732421875)","a prohibición de realizar cortes Loreto, Diario La Región, Regió"
1,https://www.facebook.com/share/p/16Fc4PXva9/,"(276.010009765625, 392.6700134277344, 393.010009765625, 405.32000732421875)","ealizar cortes del servicio mientras d egión, Región Iquitos Noticias)"
1,https://diariocorreo.pe/edicion/la-libertad/la-libertad-la-municipalidad-provincial-de-trujillo-denuncia-a-sedalib-por-obras-inconclusas-noticia/?ref=dcr,"(398.9599914550781, 493.8599853515625, 437.0799865722656, 506.510009765625)",e hace un año y afec zona. (Correo)
1,https://www.gob.pe/institucion/contraloria/noticias/1142707-contraloria-advierte-falta-de-acciones-para-reactivar-obra-de-saneamiento-que-beneficiara-a-mas-de-5000-habitantes-de-omate,"(338.3699951171875, 569.760009765625, 378.9599914550781, 582.4100341796875)",istemas de agua pa exos. (Gob.pe)
1,https://diariocorreo.pe/edicion/piura/piura-avanzan-trabajos-para-recuperar-normal-operacion-en-ptap-curumuy-noticia/,"(178.8000030517578, 633.0, 216.9199981689453, 645.6500244140625)",ar la normal operac abril. (Correo)
2,https://imacorpplataforma.com/wp-content/uploads/2025/04/09-04-2025-RPP-SE-SUSPENDE-ENTREGA-DESAYUNOS-ESCOLARES-EN-LAMBAYEQUE-POR-USAR-AGUA-CONTAMINADA-TITULAR.mp3,"(86.46299743652344, 89.0999755859375, 113.58000183105469, 101.75)",y no nos han (RPP)
2,https://imacorpplataforma.com/wp-content/uploads/2025/04/09-04-2025-RPP-EN-LAMBAYEQUE-260-MIL-POBLADORES-EXPUESTOS-A-CONSUMIR-AGUA-CONTAMINADA-RESUMEN-DE-LA-HORA.mp3,"(439.92999267578125, 139.69000244140625, 467.04998779296875, 152.34002685546875)",dos. Así lo confir eque. (RPP)
2,https://www.gob.pe/institucion/vivienda/noticias/1143061-brigadas-del-ministerio-de-vivienda-brindan-atencion-personalizada-a-121-municipios-de-amazonas-san-martin-huanuco-piura-y-loreto,"(86.46299743652344, 291.4800109863281, 133.16000366210938, 304.1300048828125)",saneamiento y (Vivienda)
2,https://www.gob.pe/institucion/vivienda/noticias/1142107-ministerio-de-vivienda-lanza-la-plataforma-del-observatorio-urbano-nacional,"(262.55999755859375, 354.7300109863281, 309.260009765625, 367.3699951171875)",bilizar la información r país. (Vivienda)
2,https://www.gob.pe/institucion/muniilo/noticias/1142919-alcalde-provincial-de-ilo-se-reunio-con-el-ministro-de-vivienda-para-impulsar-el-proyecto-de-mejoramiento-de-agua-potable-y-alcantarillado,"(431.3500061035156, 455.9200134277344, 471.92999267578125, 468.57000732421875)",o en el sistema de 0.00. (Gob.pe)
